1,Aguascalientes,1.76,0.27,0.56,0.39,0.01,0.35,0,0.03,0.04,0.67
2,Baja California,2.29,0.22,0.49,0.23,0.04,0.27,0,0.03,0.25,0.09
3,Baja California Sur,3.62,0.42,0.62,0.27,0.12,0.52,0,0.05,0.39,0.65
4,Campeche,2.5,0.64,1.05,1.07,0.07,1.24,0.04,0.04,0.07,0.09
5,Chiapas,0.68,0.25,0.33,0.26,0.04,2.18,0,0.02,0.31,2.55
6,Chihuahua,1.16,0.29,0.41,0.34,0.04,0.96,0,0.01,2.95,2.01
7,Coahuila de Zaragoza,1.91,0.43,0.87,0.45,0.03,0.88,0,0.05,0.12,0.21
8,Colima,2.19,0.24,0.45,0.33,0.04,0.5,0,0,0.13,0.13
10,Durango,1.12,0.21,0.45,0.34,0.04,0.85,0,0.01,1.37,1.17
11,Guanajuato,1.08,0.26,0.4,0.38,0.07,0.8,0,0.03,0.18,2.85
12,Guerrero,0.64,0.17,0.18,0.24,0.01,1.64,0,0,0,0.43
13,Hidalgo,1.13,0.21,0.42,0.32,0.03,0.89,0,0,0.06,0.48
14,Jalisco,1.46,0.53,0.67,0.27,0.08,0.89,0.23,0.02,0.78,1.43
15,México,1.6,0.18,0.45,0.34,0.07,1.04,0,0,1.28,1.08
16,Michoacán de Ocampo,1.09,0.36,0.43,0.27,0.05,1.1,0,0,0.11,0.1
17,Morelos,1.6,0.35,0.55,0.46,0.15,1.22,0,0,0.08,0.18
18,Nayarit,1.69,0.28,0.34,0.32,0.03,1.34,0,0,0.77,0.31
19,Nuevo León,2.68,0.88,1.18,0.38,0.15,1.4,0,1.71,5.79,14
20,Oaxaca,0.52,0.25,0.66,0.07,0.06,1.69,0,2.56,0.11,0.36
21,Puebla,0.02,0.01,0.02,0.01,0,0.04,0,0,0,0.01
22,Querétaro,1.96,0.32,0.72,0.51,0.22,1.74,0.01,0.15,0.41,1.02
23,Quintana Roo,3.67,0.42,1.18,0.35,0.37,1.37,0,0,0.43,1.06
24,San Luis Potosí,0.85,0.2,0.39,0.32,0.05,1.53,0.01,0.33,0.14,0.22
25,Sinaloa,1.11,0.23,0.45,0.3,0.04,0.81,0,0,0.41,0.15
26,Sonora,2.69,0.65,1.09,0.53,0.07,1.16,0.12,0.12,2.51,6.22
27,Tabasco,2.48,0.39,0.58,0.17,0.19,0.8,0.05,0.04,0.09,0.71
28,Tamaulipas,0.93,0.55,0.58,0.34,0.01,0.47,0,0,0.66,2.26
29,Tlaxcala,1.11,0.26,0.52,0.21,0.07,0.95,0,0,0.01,0.07
30,Veracruz de Ignacio de la Llave,0.66,0.15,0.4,0.15,0.03,1.42,0,0,0.52,0.77
31,Yucatán,1.17,0.42,0.43,0.41,0.03,1.69,0,0,0.09,1.17
32,Zacatecas,1.58,0.24,0.49,0.32,0.04,1.54,0,0,0.67,0.24
