1,Aguascalientes,0.18,0,0,0.22,0.02,0.1,2.35,1.11,0.08,0.01,0.03
2,Baja California,0.77,0,0.01,0.27,0.03,0.2,1.35,0.66,0.11,0.39,0.11
3,Baja California Sur,1.34,0,0,0.47,0.07,0.27,2.64,0.86,0.08,0.59,0.35
4,Campeche,0.18,0,0,0.2,0.03,0.06,3.63,2.26,0.13,0.31,0
5,Chiapas,0.06,0,0,0.02,0.01,0.01,1.21,2.52,0,0.28,0.33
6,Chihuahua,0.16,0,0.01,0.1,0.02,0.06,2.12,0.74,0.13,0.03,0.02
7,Coahuila de Zaragoza,0.39,0.04,0,0.12,0.01,0.03,2.8,0.91,0.3,0.12,0.24
8,Colima,0.37,0,0,0.28,0.06,0.28,1.85,0.93,0,0.23,0
10,Durango,0.08,0.01,0,0.18,0.02,0.03,1.46,1.33,0.03,0.13,0
11,Guanajuato,0.18,0,0.02,0.07,0.05,0.05,1.5,1.88,0.1,0.05,0
12,Guerrero,0.05,0,0,0.05,0.02,0.01,0.68,2.32,0.03,0.03,0
13,Hidalgo,0.1,0,0,0.08,0.02,0.06,1.5,1.55,0.05,0.01,0
14,Jalisco,0.27,0,0.01,0.23,0.06,0.13,2.16,1.23,0.01,0.42,0.01
15,México,0.26,0,0.02,0.12,0.02,0.09,1.6,1.79,0.04,0.22,0.01
16,Michoacán de Ocampo,0.09,0,0.06,0.13,0.01,0.05,1.34,1.59,0.01,0.17,0
17,Morelos,0.32,0,0.01,0.16,0.01,0.04,1.88,1.61,0.06,0.4,0
18,Nayarit,0.21,0,0.01,0.09,0.02,0.06,1.8,1.94,0.02,0.29,0
19,Nuevo León,0.55,0.03,0,0.22,0.07,0.12,4.07,1.97,0.34,0.14,0.33
20,Oaxaca,0.02,0,0.01,0.06,0.04,0.03,1.23,1.65,0.86,0.35,0
21,Puebla,0.01,0,0,0.01,0,0,0.03,0.04,0.01,0,0.02
22,Querétaro,0.45,0,0.01,0.17,0.04,0.05,2.69,2.02,0.17,0.24,0.45
23,Quintana Roo,1.56,0,0,0.79,0.13,0.44,3.23,1.46,0.23,0.84,0.48
24,San Luis Potosí,0.09,0,0.01,0.14,0.01,0.08,1.02,2.16,0.02,0.15,0
25,Sinaloa,0.32,0,0,0.05,0.01,0.14,1.41,1.1,0,0.06,0
26,Sonora,0.23,0,0,0.11,0.03,0.09,4.16,2.15,0.29,0.14,0
27,Tabasco,0.08,0.04,0,0.1,0.01,0.06,2.87,1.57,0.08,0.05,0.09
28,Tamaulipas,0.13,0,0,0.05,0.01,0.01,1.95,1.11,0.02,0.04,0
29,Tlaxcala,0.04,0,0,0.09,0.01,0.01,1.59,1.26,0.03,0.13,0
30,Veracruz de Ignacio de la Llave,0.09,0,0.01,0.09,0.01,0.01,1.09,1.49,0.16,0.05,0
31,Yucatán,0.06,0,0,0.03,0.01,0.02,2.26,1.94,0.03,0.09,0
32,Zacatecas,0.19,0,0,0.22,0.04,0.16,2.04,1.53,0.01,0.36,0
